ID	Value
HED10043	[[सभी\DM_DMI को\PSP]]_NP [[लगने\V_VM लगा\V_VAUX]]_VGF [[कि\CC_CCS]]_CCP [[कृष्णमूर्ति\N_NNP ही\RP_RPD]]_NP [[वह\DM_DMD बालक\N_NN]]_NP [[है\V_VM]]_VGF [[और\CC_CCD]]_CCP [[एनी\N_NNP बेसेंट\N_NNP ने\PSP]]_NP [[उन्हें\PR_PRP ‘\RD_PUNC मुक्‍तिदाता\N_NNP ’\RD_PUNC के\PSP रूप\PSP में\PSP]]_NP [[चुना\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10044	[[यहाँ\N_NST तक\PSP]]_NP [[कि\CC_CCS]]_CCP [[उन्होंने\PR_PRP]]_NP [[उनके\PR_PRP लिये\PSP ‘\RD_PUNC]]_NP [[ऑर्डर\N_NNP ऑफ\N_NNP दी\N_NNP स्टार\N_NNP ’\RD_PUNC की\PSP]]_NP [[स्थापना\N_NN भी\RP_RPD]]_NP [[कर\V_VM दी\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10045	[[सच\N_NN तो\RP_RPD]]_NP [[स्वयं\PR_PRF तुम्हारे\PR_PRP भीतर\N_NST]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10046	[[सच\N_NN को\PSP]]_NP [[ढूँढने\N_NN के\PSP लिये\PSP]]_NP [[मनुष्य\N_NN]]_NP [[सभी\DM_DMI बंधनों\N_NN से\PSP]]_NP [[स्वतंत्र\JJ]]_NP [[होना\V_VM]]_VGNN [[आवश्‍यक\JJ]]_JJP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10047	[[उन्होंने\PR_PRP]]_NP [[पूरा\JJ जीवन\N_NN]]_NP [[एक\QT_QTC शिक्षक\N_NN और\CC_CCD छात्र\N_NN की\PSP]]_NP [[तरह\N_NN]]_NP [[बिताया\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10048	[[मनुष्य\N_NN के\PSP]]_NP [[सर्वप्रथम\QT_QTF मनुष्य\N_NN]]_NP [[होने\N_NN से\PSP ही\RP_RPD]]_NP [[मुक्ति\N_NN की\PSP]]_NP [[शुरुआत\N_NN]]_NP [[होती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10049	[[किन्तु\CC_CCD]]_CCP [[आज\N_NST का\PSP]]_NP [[मानव\N_NN]]_NP [[हिंदू\JJ ,\RD_PUNC बौद्ध\JJ ,\RD_PUNC ईसाई\JJ ,\RD_PUNC मुसलमान\JJ ,\RD_PUNC अमेरिकी\JJ ,\RD_PUNC अरबी\JJ या\CC_CCD चीनी\JJ]]_JJP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10050	[[अंग्रेजी\N_NNP में\PSP]]_NP [[कृष्णमूर्ति\N_NNP की\PSP]]_NP [[लिखी\JJ पुस्तकें\N_NN]]_NP [[सारी\DM_DMI दुनिया\N_NN की\PSP]]_NP [[प्रमुख\JJ भाषाओं\N_NN में\PSP]]_NP [[अनुदित\N_NN]]_NP [[हुई\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10051	[[जो\DM_DMR]]_NP [[मनोयोग\N_NN से\PSP]]_NP [[पढ़ी\V_VM जाती\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10052	[[आधुनिक\JJ हिन्दी\N_NNP साहित्य\N_NN में\PSP]]_NP [[सुमित्रानंदन\N_NNP पंत\N_NNP की\PSP]]_NP [[गणना\N_NN]]_NP [[महान\JJ कवियों\N_NN में\PSP]]_NP [[होती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10053	[[ये\DM_DMD प्रकृति\N_NN ,\RD_PUNC यथार्थ\N_NN ,\RD_PUNC अध्यात्म\N_NN की\PSP]]_NP [[जीवन\N_NN]]_NP [[चेतना\N_NN के\PSP]]_NP [[कवि\N_NN]]_NP [[हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10054	[[इन्हें\DM_DMR ‘\RD_PUNC चिदंबरा\N_NNP ’\RD_PUNC नामक\JJ काव्यकृति\N_NN पर\PSP]]_NP [[देश\N_NN के\PSP]]_NP [[सर्वोच्च\JJ ज्ञानपीठ\N_NNP पुरस्कार\N_NN से\PSP]]_NP [[सम्मानित\JJ]]_NP [[किया\V_VM गया\V_VAUX था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10055	[[सुमित्रानंदन\N_NNP पंत\N_NNP (\RD_SYM]]_NP [[20\QT_QTC मई\N_NNP ,\RD_PUNC 1900\QT_QTC -\RD_PUNC 28\QT_QTC सितंबर\N_NNP 1977\QT_QTC )\RD_SYM हिन्दी\N_NNP साहित्य\N_NN में\PSP]]_NP [[छायावादी\N_NNP युग\N_NNP के\PSP]]_NP [[चार\QT_QTC प्रमुख\JJ स्तंभों\N_NN में\PSP से\PSP]]_NP [[एक\QT_QTC हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10056	[[बीसवीं\QT_QTO सदी\N_NN का\PSP]]_NP [[पूर्वार्द्ध\N_NN]]_NP [[छायावादी\JJ कवियों\N_NN का\PSP]]_NP [[रचना\N_NN]]_NP [[काल\N_NN]]_NP [[था\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10057	[[सुमित्रानंदन\N_NNP पंत\N_NNP]]_NP [[उस\DM_DMD नये\JJ युग\N_NN के\PSP]]_NP [[प्रवर्तक\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[हिन्दी\N_NNP साहित्य\N_NN में\PSP]]_NP [[उदित\JJ]]_NP [[हुए\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10058	[[सुमित्रानंदन\N_NNP पंत\N_NNP का\PSP]]_NP [[प्रकृति\N_NN चित्रण\N_NN]]_NP [[इन\DM_DMD सबमें\DM_DMI श्रेष्‍ठ\JJ]]_NP [[था\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10059	[[उनका\PR_PRP जन्म\N_NN ही\RP_RPD]]_NP [[बर्फ\N_NN से\PSP]]_NP [[आच्छादित\JJ पर्वतों\N_NN की\PSP]]_NP [[अत्यंत\RP_INTF आकर्षक\JJ घाटी\N_NN]]_NP [[अल्मोड़ा\N_NNP में\PSP]]_NP [[हुआ\V_VM था\V_VAUX ,\RD_PUNC]]_VGF [[जिसका\DM_DMR प्राकृतिक\JJ सौंदर्य\N_NN]]_NP [[उनकी\PR_PRP आत्मा\N_NN में\PSP]]_NP [[आत्मसात\N_NN]]_NP [[हो\V_VM चुका\V_VAUX था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10060	[[झरना\N_NN ,\RD_PUNC बर्फ\N_NN ,\RD_PUNC पुष्‍प\N_NN ,\RD_PUNC लता\N_NN ,\RD_PUNC भंवरा\N_NN गुंजन\N_NN ,\RD_PUNC उषा\N_NN किरण\N_NN ,\RD_PUNC शीतल\JJ पवन\N_NN ,\RD_PUNC]]_NP [[तारों\N_NN की\PSP]]_NP [[चुनरी\N_NN]]_NP [[ओढ़े\N_NN गगन\N_NN से\PSP]]_NP [[उतरती\JJ संध्या\N_NN]]_NP [[ये\DM_DMD सब\DM_DMI तो\RP_RPD]]_NP [[सहज\RB रूप\RB से\RB]]_RBP [[काव्य\N_NN का\PSP]]_NP [[उपादान\N_NN]]_NP [[बने\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10061	[[निसर्ग\N_NN के\PSP]]_NP [[उपादानों\N_NN का\PSP]]_NP [[प्रतीक\N_NN व\CC_CCD बिम्ब\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[प्रयोग\N_NN]]_NP [[उनके\PR_PRP काव्य\N_NN की\PSP]]_NP [[विशेषता\N_NN]]_NP [[रही\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10062	[[उत्तराखण्ड\N_NNP के\PSP]]_NP [[अल्मोड़ा\N_NNP जिले\N_NN के\PSP]]_NP [[कौसानी\N_NNP नामक\JJ ग्राम\N_NN में\PSP]]_NP [[20\QT_QTC मई\N_NNP को\PSP]]_NP [[हुआ\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
